dur sec 14	1	2	3	4	total		dur seg 14	1	2a	2b	3a	3b	4	total	
Csengery+Keller 1987	00:07	00:07	00:16	00:10	00:40		Csengery+Keller 1987	00:07	00:04	00:04	00:08	00:08	00:10	00:40	
Csengery+Keller 1990	00:06	00:08	00:16	00:10	00:40		Csengery+Keller 1990	00:06	00:04	00:04	00:07	00:09	00:10	00:40	
Komsi+Oramo 1994	00:06	00:06	00:12	00:10	00:34		Komsi+Oramo 1994	00:06	00:03	00:03	00:06	00:06	00:10	00:34	
Komsi+Oramo 1995	00:06	00:06	00:11	00:09	00:32		Komsi+Oramo 1995	00:06	00:03	00:03	00:05	00:06	00:09	00:32	
Whittlesey+Sallaberger 1997	00:05	00:09	00:17	00:10	00:41		Whittlesey+Sallaberger 1997	00:05	00:04	00:04	00:08	00:09	00:10	00:41	
Pammer+Kopatchinskaja 2004	00:06	00:07	00:13	00:12	00:37		Pammer+Kopatchinskaja 2004	00:06	00:04	00:03	00:06	00:07	00:12	00:37	
Arnold+Pogossian 2004	00:06	00:08	00:16	00:11	00:40		Arnold+Pogossian 2004	00:06	00:04	00:04	00:07	00:08	00:11	00:40	
Banse+Keller 2005	00:07	00:08	00:16	00:12	00:43		Banse+Keller 2005	00:07	00:04	00:04	00:07	00:09	00:12	00:43	
Arnold+Pogossian 2006	00:06	00:08	00:16	00:10	00:41		Arnold+Pogossian 2006	00:06	00:04	00:04	00:08	00:08	00:10	00:41	
Melzer+Stark 2012	00:05	00:07	00:15	00:10	00:37		Melzer+Stark 2012	00:05	00:03	00:03	00:08	00:08	00:10	00:37	
Melzer+Stark 2013	00:05	00:06	00:14	00:10	00:35		Melzer+Stark 2013	00:05	00:03	00:03	00:08	00:06	00:10	00:35	
Kammer+Widmann 2017	00:05	00:06	00:11	00:09	00:31		Kammer+Widmann 2017	00:05	00:03	00:03	00:05	00:06	00:09	00:31	
Melzer+Stark 2017	00:05	00:06	00:15	00:09	00:35		Melzer+Stark 2017	00:05	00:03	00:03	00:09	00:07	00:09	00:35	
Melzer+Stark 2019	00:06	00:05	00:14	00:10	00:35		Melzer+Stark 2019	00:06	00:03	00:03	00:08	00:06	00:10	00:35	
mean 14	00:06	00:07	00:14	00:10	00:37		mean 14	00:06	00:03	00:03	00:07	00:07	00:10	00:37	
min 14	00:05	00:05	00:11	00:09	00:31	KW 2017	min 14	00:05	00:03	00:03	00:05	00:06	00:09	00:31	KW 2017
max 14	00:07	00:09	00:17	00:12	00:43	BK 2005	max 14	00:07	00:04	00:04	00:09	00:09	00:12	00:43	BK 2005
rel stdv (%) 14	11,34	15,39	14,71	9,92	9,91		rel stdv (%) 14	11,34	13,82	17,97	16,95	17,78	9,92	9,91	
dur sec 8	1	2	3	4	total		dur seg 8	1	2a	2b	3a	3b	4	total	
Csengery+Keller 1990	00:06	00:08	00:16	00:10	00:40		Csengery+Keller 1990	00:06	00:04	00:04	00:07	00:09	00:10	00:40	
Komsi+Oramo 1995	00:06	00:06	00:11	00:09	00:32		Komsi+Oramo 1995	00:06	00:03	00:03	00:05	00:06	00:09	00:32	
Whittlesey+Sallaberger 1997	00:05	00:09	00:17	00:10	00:41		Whittlesey+Sallaberger 1997	00:05	00:04	00:04	00:08	00:09	00:10	00:41	
Pammer+Kopatchinskaja 2004	00:06	00:07	00:13	00:12	00:37		Pammer+Kopatchinskaja 2004	00:06	00:04	00:03	00:06	00:07	00:12	00:37	
Arnold+Pogossian 2004	00:06	00:08	00:16	00:11	00:40		Arnold+Pogossian 2004	00:06	00:04	00:04	00:07	00:08	00:11	00:40	
Banse+Keller 2005	00:07	00:08	00:16	00:12	00:43		Banse+Keller 2005	00:07	00:04	00:04	00:07	00:09	00:12	00:43	
Melzer+Stark 2012	00:05	00:07	00:15	00:10	00:37		Melzer+Stark 2012	00:05	00:03	00:03	00:08	00:08	00:10	00:37	
Kammer+Widmann 2017	00:05	00:06	00:11	00:09	00:31		Kammer+Widmann 2017	00:05	00:03	00:03	00:05	00:06	00:09	00:31	
mean 8	00:06	00:07	00:14	00:10	00:38		mean 8	00:06	00:04	00:04	00:07	00:08	00:10	00:38	
min 8	00:05	00:06	00:11	00:09	00:31	KW 2017	min 8	00:05	00:03	00:03	00:05	00:06	00:09	00:31	KW 2017
max 8	00:07	00:09	00:17	00:12	00:43	BK 2005	max 8	00:07	00:04	00:04	00:08	00:09	00:12	00:43	BK 2005
rel stdv (%) 8 	11,52	14,02	17,29	11,83	11,25		rel stdv (%) 8	11,52	13,27	15,72	17,45	17,98	11,83	11,25	
perc sec 14	1	2	3	4			perc seg 14	1	2a	2b	3a	3b	4		
score	18,33	21,67	35,00	25,00											
Csengery+Keller 1987	17,08	18,45	39,36	25,11			Csengery+Keller 1987	17,08	9,22	9,22	18,58	20,78	25,11		
Csengery+Keller 1990	14,63	18,86	40,51	25,99			Csengery+Keller 1990	14,63	8,90	9,96	18,61	21,91	25,99		
Komsi+Oramo 1994	18,99	16,92	34,39	29,70			Komsi+Oramo 1994	18,99	8,48	8,44	16,94	17,45	29,70		
Komsi+Oramo 1995	19,96	17,51	34,51	28,03			Komsi+Oramo 1995	19,96	8,33	9,17	16,68	17,83	28,03		
Whittlesey+Sallaberger 1997	11,48	21,03	42,26	25,24			Whittlesey+Sallaberger 1997	11,48	10,28	10,74	19,63	22,63	25,24		
Pammer+Kopatchinskaja 2004	15,18	19,15	34,82	30,85			Pammer+Kopatchinskaja 2004	15,18	9,96	9,19	15,96	18,85	30,85		
Arnold+Pogossian 2004	15,19	19,18	38,57	27,06			Arnold+Pogossian 2004	15,19	9,31	9,87	17,99	20,59	27,06		
Banse+Keller 2005	15,38	19,29	36,28	29,06			Banse+Keller 2005	15,38	9,32	9,97	15,92	20,36	29,06		
Arnold+Pogossian 2006	14,77	19,18	40,37	25,68			Arnold+Pogossian 2006	14,77	9,65	9,53	19,77	20,60	25,68		
Melzer+Stark 2012	13,46	17,71	40,85	27,98			Melzer+Stark 2012	13,46	8,99	8,72	20,51	20,34	27,98		
Melzer+Stark 2013	14,84	17,39	40,18	27,59			Melzer+Stark 2013	14,84	9,20	8,19	22,12	18,06	27,59		
Kammer+Widmann 2017	17,63	20,41	33,78	28,18			Kammer+Widmann 2017	17,63	10,77	9,64	15,37	18,41	28,18		
Melzer+Stark 2017	14,43	16,64	43,40	25,53			Melzer+Stark 2017	14,43	9,27	7,36	24,71	18,69	25,53		
Melzer+Stark 2019	16,01	15,53	40,70	27,76			Melzer+Stark 2019	16,01	7,84	7,69	23,94	16,76	27,76		
mean 14	15,64	18,37	38,57	27,41			mean 14	15,64	9,25	9,12	19,05	19,52	27,41		
min 14	11,48	15,53	33,78	25,11			min 14	11,48	7,84	7,36	15,37	16,76	25,11		
max 14	19,96	21,03	43,40	30,85			max 14	19,96	10,77	10,74	24,71	22,63	30,85		
abs stdv 14	2,19	1,51	3,20	1,75			abs stdv 14	2,19	0,77	0,95	2,95	1,75	1,75		
perc sec 8	1	2	3	4			perc seg 8	1	2a	2b	3a	3b	4		
score	18,33	21,67	35,00	25,00											
Csengery+Keller 1990	14,63	18,86	40,51	25,99			Csengery+Keller 1990	14,63	8,90	9,96	18,61	21,91	25,99		
Komsi+Oramo 1995	19,96	17,51	34,51	28,03			Komsi+Oramo 1995	19,96	8,33	9,17	16,68	17,83	28,03		
Whittlesey+Sallaberger 1997	11,48	21,03	42,26	25,24			Whittlesey+Sallaberger 1997	11,48	10,28	10,74	19,63	22,63	25,24		
Pammer+Kopatchinskaja 2004	15,18	19,15	34,82	30,85			Pammer+Kopatchinskaja 2004	15,18	9,96	9,19	15,96	18,85	30,85		
Arnold+Pogossian 2004	15,19	19,18	38,57	27,06			Arnold+Pogossian 2004	15,19	9,31	9,87	17,99	20,59	27,06		
Banse+Keller 2005	15,38	19,29	36,28	29,06			Banse+Keller 2005	15,38	9,32	9,97	15,92	20,36	29,06		
Melzer+Stark 2012	13,46	17,71	40,85	27,98			Melzer+Stark 2012	13,46	8,99	8,72	20,51	20,34	27,98		
Kammer+Widmann 2017	17,63	20,41	33,78	28,18			Kammer+Widmann 2017	17,63	10,77	9,64	15,37	18,41	28,18		
mean 8	15,36	19,14	37,70	27,80			mean 8	15,36	9,49	9,66	17,58	20,11	27,80		
min 8	11,48	17,51	33,78	25,24			min 8	11,48	8,33	8,72	15,37	17,83	25,24		
max 8	19,96	21,03	42,26	30,85			max 8	19,96	10,77	10,74	20,51	22,63	30,85		
abs stdv 8 	2,55	1,19	3,28	1,75			abs stdv 8	2,55	0,80	0,63	1,89	1,67	1,75		
